#MODEL NO, nViolations (if distances<=2.75) 
635, 73
636, 30
637, 22
638, 143
639, 176
640, 152
641, 136
642, 57
643, 130
644, 113
645, 205
646, 147
647, 222
648, 147
649, 25
650, 177
651, 88
652, 116
653, 159
654, 114
655, 42
656, 39
657, 11
658, 83
659, 97
660, 66
661, 18
662, 46
663, 42
664, 109
665, 107
666, 152
667, 125
668, 157
669, 129
670, 51
671, 180
672, 17
673, 120
674, 208
675, 71
676, 53
677, 48
678, 58
679, 23
680, 86
681, 115
682, 105
683, 11
684, 21
685, 91
686, 73
687, 111
688, 144
689, 79
690, 124
691, 137
692, 85
693, 162
694, 133
695, 167
696, 205
697, 85
698, 21
699, 16
700, 22
701, 153
702, 187
703, 145
704, 176
705, 116
706, 82
707, 39
708, 179
709, 19
710, 109
711, 40
712, 33
713, 25
714, 101
715, 209
716, 15
717, 50
718, 188
719, 142
720, 10
721, 56
722, 37
723, 58
724, 83
725, 124
726, 85
727, 25
728, 17
729, 151
730, 194
731, 189
732, 205
733, 124
734, 93
735, 102
736, 102
737, 51
738, 25
739, 98
740, 173
741, 201
742, 27
743, 77
744, 192
745, 107
746, 64
747, 120
748, 90
749, 201
750, 79
751, 184
752, 143
753, 155
754, 194
755, 195
756, 157
757, 147
758, 118
759, 11
760, 45
761, 36
762, 22
763, 19
764, 208
765, 58
766, 35
767, 25
768, 31
769, 63
770, 33
771, 57
772, 49
773, 68
774, 65
775, 47
776, 208
777, 114
778, 128
779, 168
780, 158
781, 16
782, 14
783, 26
784, 172
785, 97
786, 76
787, 98
788, 91
789, 111
790, 139
791, 57
792, 71
793, 186
794, 194
795, 140
796, 179
797, 121
798, 58
799, 108
800, 74
801, 65
802, 64
803, 101
804, 36
805, 134
806, 152
807, 164
808, 111
809, 36
810, 57
811, 55
812, 232
813, 96
814, 96
815, 173
816, 173
817, 128
818, 118
819, 148
820, 127
821, 125
822, 208
823, 183
824, 186
825, 186
826, 136
827, 47
828, 71
829, 181
830, 117
831, 13
832, 184
833, 27
834, 179
835, 23
836, 22
837, 32
838, 53
839, 32
840, 58
841, 24
842, 20
843, 23
844, 67
845, 160
846, 88
847, 243
848, 236
849, 115
850, 224
851, 65
852, 86
853, 116
854, 111
855, 53
856, 45
857, 38
858, 150
859, 216
860, 92
861, 163
862, 184
863, 212
864, 100
865, 77
866, 36
867, 144
868, 153
869, 86
870, 189
871, 194
872, 202
873, 197
874, 72
875, 50
876, 141
877, 119
878, 121
879, 113
880, 140
881, 200
882, 183
883, 158
884, 201
885, 182
886, 180
887, 155
888, 179
889, 169
890, 51
891, 203
892, 73
893, 11
894, 90
895, 116
896, 35
897, 171
898, 49
899, 46
900, 136
901, 70
902, 52
903, 113
904, 24
905, 16
906, 25
907, 27
908, 47
909, 57
910, 58
911, 58
912, 54
913, 29
914, 77
915, 144
916, 200
917, 10
918, 26
919, 59
920, 63
921, 52
922, 112
923, 176
924, 154
925, 110
926, 69
927, 78
928, 60
929, 173
930, 145
931, 34
932, 159
933, 139
934, 44
935, 133
936, 200
937, 30
938, 52
939, 60
940, 110
941, 222
942, 15
943, 100
944, 170
945, 210
946, 223
947, 14
948, 82
949, 54
950, 121
951, 187
952, 97
953, 111
954, 81
955, 109
956, 209
957, 208
958, 205
959, 184
960, 110
961, 58
962, 40
963, 17
964, 53
965, 84
966, 130
967, 22
968, 132
969, 177
970, 155
971, 115
972, 159
973, 211
974, 186
975, 94
976, 57
977, 102
978, 108
979, 133
980, 160
981, 94
982, 149
983, 180
984, 189
985, 201
986, 200
987, 199
988, 203
989, 209
990, 215
991, 175
992, 196
993, 13
994, 140
995, 172
996, 107
997, 9
998, 63
999, 79
1000, 46
1001, 49
1002, 52
1003, 49
1004, 61
1005, 43
1006, 36
1007, 55
1008, 149
1009, 152
1010, 110
1011, 122
1012, 175
1013, 151
1014, 96
1015, 57
1016, 63
1017, 63
1018, 124
1019, 28
1020, 66
1021, 65
1022, 62
1023, 129
1024, 182
1025, 192
1026, 170
1027, 82
1028, 57
1029, 9
1030, 9
1031, 180
1032, 168
1033, 98
1034, 63
1035, 75
1036, 106
1037, 68
1038, 72
1039, 63
1040, 118
1041, 39
1042, 50
1043, 45
1044, 30
1045, 36
1046, 154
1047, 164
1048, 156
1049, 124
1050, 90
1051, 112
1052, 18
1053, 8
1054, 13
1055, 38
1056, 24
1057, 14
1058, 22
1059, 23
1060, 19
1061, 9
1062, 198
1063, 82
1064, 82
1065, 59
1066, 82
1067, 89
1068, 151
1069, 75
1070, 203
1071, 178
1072, 154
1073, 140
1074, 170
1075, 213
1076, 169
1077, 131
1078, 149
1079, 104
1080, 141
1081, 69
1082, 76
1083, 45
1084, 86
1085, 66
1086, 97
1087, 9
1088, 9
1089, 18
1090, 19
1091, 25
1092, 9
1093, 170
1094, 164
1095, 171
1096, 172
1097, 173
1098, 163
1099, 159
1100, 163
1101, 138
1102, 54
1103, 159
1104, 142
1105, 38
1106, 163
1107, 78
1108, 58
1109, 83
1110, 161
1111, 83
1112, 79
1113, 44
1114, 43
1115, 45
1116, 136
1117, 160
1118, 171
1119, 124
1120, 109
1121, 46
1122, 157
1123, 144
1124, 153
1125, 160
1126, 122
1127, 29
1128, 128
1129, 72
1130, 79
1131, 109
1132, 27
1133, 18
1134, 21
1135, 26
1136, 20
1137, 22
1138, 21
1139, 20
1140, 111
1141, 152
1142, 88
1143, 96
1144, 71
1145, 116
1146, 146
1147, 89
1148, 103
1149, 152
1150, 236
1151, 116
1152, 75
1153, 102
1154, 167
1155, 42
1156, 52
1157, 34
1158, 33
1159, 22
1160, 43
1161, 48
1162, 37
1163, 166
1164, 195
1165, 210
1166, 135
1167, 66
1168, 177
1169, 172
1170, 37
1171, 157
1172, 92
1173, 59
1174, 52
1175, 118
1176, 74
1177, 86
1178, 78
1179, 103
1180, 147
1181, 152
1182, 178
1183, 199
1184, 201
1185, 119
1186, 178
1187, 114
1188, 109
1189, 135
1190, 101
1191, 141
1192, 77
1193, 42
1194, 24
1195, 38
1196, 71
1197, 41
1198, 115
1199, 176
1200, 126
1201, 136
1202, 60
1203, 53
1204, 54
1205, 85
1206, 72
1207, 63
1208, 74
1209, 91
1210, 65
1211, 102
1212, 141
1213, 75
1214, 88
1215, 190
1216, 155
1217, 188
1218, 138
1219, 122
1220, 55
1221, 151
1222, 81
1223, 65
1224, 138
1225, 115
1226, 79
1227, 37
1228, 54
1229, 56
1230, 67
1231, 70
1232, 59
1233, 98
1234, 45
1235, 43
1236, 46
1237, 24
1238, 31
1239, 38
1240, 59
1241, 83
1242, 161
1243, 134
1244, 191
1245, 145
1246, 206
1247, 173
1248, 207
1249, 83
1250, 121
1251, 114
1252, 161
1253, 65
1254, 49
1255, 127
1256, 108
1257, 172
1258, 100
1259, 111
1260, 74
1261, 200
1262, 171
1263, 75
1264, 65
1265, 174
1266, 63
1267, 59
1268, 80
1269, 90
1270, 9
1271, 111
1272, 122
1273, 141
1274, 133
1275, 139
1276, 96
1277, 93
1278, 139
1279, 126
1280, 10
1281, 11
1282, 16
1283, 20
1284, 23
1285, 13
1286, 40
1287, 73
1288, 126
1289, 149
1290, 118
1291, 115
1292, 56
1293, 135
1294, 22
1295, 80
1296, 40
1297, 12
1298, 14
1299, 32
1300, 45
1301, 32
1302, 39
1303, 37
1304, 151
1305, 16
1306, 33
1307, 7
1308, 110
1309, 113
1310, 119
1311, 70
1312, 80
1313, 70
1314, 86
1315, 164
1316, 56
1317, 166
1318, 99
1319, 33
1320, 171
1321, 71
1322, 144
1323, 36
1324, 85
1325, 93
1326, 41
1327, 178
1328, 175
1329, 43
1330, 69
1331, 127
1332, 104
1333, 102
1334, 182
1335, 208
1336, 129
1337, 151
1338, 134
1339, 76
1340, 62
1341, 70
1342, 156
1343, 63
1344, 161
1345, 129
1346, 141
1347, 150
1348, 188
1349, 52
1350, 206
1351, 67
1352, 69
1353, 122
1354, 174
1355, 110
1356, 85
1357, 120
1358, 53
1359, 53
1360, 68
1361, 54
1362, 60
1363, 83
1364, 65
1365, 56
1366, 154
1367, 142
1368, 107
1369, 50
1370, 155
1371, 141
1372, 94
1373, 91
1374, 98
1375, 24
1376, 10
1377, 57
1378, 146
1379, 45
1380, 37
1381, 156
1382, 166
1383, 141
1384, 158
1385, 173
1386, 85
1387, 93
1388, 109
1389, 170
1390, 93
1391, 53
1392, 107
1393, 142
1394, 139
1395, 176
1396, 142
1397, 109
1398, 97
1399, 53
1400, 82
1401, 70
1402, 85
1403, 79
1404, 77
1405, 152
1406, 110
1407, 175
1408, 137
1409, 184
1410, 212
1411, 124
1412, 125
1413, 123
1414, 83
1415, 111
1416, 43
1417, 125
1418, 161
1419, 159
1420, 222
1421, 158
1422, 59
1423, 36
1424, 146
1425, 131
1426, 120
1427, 87
1428, 116
1429, 66
1430, 131
1431, 177
1432, 105
1433, 140
1434, 125
1435, 55
1436, 57
1437, 22
1438, 60
1439, 69
1440, 160
1441, 125
1442, 101
1443, 67
1444, 85
1445, 116
1446, 81
1447, 81
1448, 94
1449, 43
1450, 94
1451, 60
1452, 87
1453, 17
1454, 7
1455, 204
1456, 167
1457, 120
1458, 96
1459, 37
1460, 17
1461, 29
1462, 31
1463, 14
1464, 32
1465, 139
1466, 47
1467, 181
1468, 193
1469, 139
1470, 22
1471, 11
1472, 95
1473, 137
1474, 23
1475, 39
1476, 41
1477, 25
1478, 27
1479, 32
1480, 17
1481, 28
1482, 24
1483, 139
1484, 136
1485, 47
1486, 55
1487, 40
1488, 151
1489, 86
1490, 24
1491, 67
1492, 46
1493, 10
1494, 136
1495, 88
1496, 19
1497, 177
1498, 218
1499, 189
1500, 90
1501, 113
1502, 157
1503, 134
1504, 106
1505, 138
1506, 70
1507, 82
1508, 209
1509, 44
1510, 94
1511, 135
1512, 94
1513, 155
1514, 55
1515, 50
1516, 109
1517, 87
1518, 111
1519, 167
1520, 134
1521, 155
1522, 50
1523, 120
1524, 67
1525, 150
1526, 56
1527, 58
1528, 215
1529, 120
1530, 87
1531, 118
1532, 135
1533, 164
1534, 91
1535, 96
1536, 124
1537, 52
1538, 184
1539, 28
1540, 76
1541, 172
1542, 145
1543, 92
1544, 74
1545, 45
1546, 164
1547, 150
1548, 122
1549, 107
1550, 189
1551, 107
1552, 55
1553, 44
1554, 51
1555, 35
1556, 42
1557, 44
1558, 32
1559, 38
1560, 47
1561, 133
1562, 165
1563, 160
1564, 161
1565, 163
1566, 177
1567, 140
1568, 150
1569, 64
1570, 144
1571, 83
1572, 150
1573, 118
1574, 91
1575, 47
1576, 65
1577, 37
1578, 163
1579, 159
1580, 189
1581, 75
1582, 127
1583, 100
1584, 52
1585, 52
1586, 113
1587, 35
1588, 91
1589, 47
1590, 76
1591, 43
1592, 154
1593, 152
1594, 162
1595, 169
1596, 73
1597, 39
1598, 34
1599, 34
1600, 151
1601, 146
1602, 103
1603, 124
1604, 73
1605, 131
1606, 71
1607, 56
1608, 57
1609, 76
1610, 93
1611, 92
1612, 128
1613, 94
1614, 70
1615, 92
1616, 91
1617, 126
1618, 61
1619, 77
1620, 56
1621, 49
