#MODEL NO, nViolations (if distances<=2.75) 
2483, 27
2484, 167
2485, 192
2486, 130
2487, 8
2488, 78
2489, 159
2490, 180
2491, 146
2492, 150
2493, 167
2494, 154
2495, 174
2496, 128
2497, 144
2498, 12
2499, 19
2500, 23
2501, 15
2502, 23
2503, 6
2504, 2
2505, 115
2506, 175
2507, 48
2508, 29
2509, 14
2510, 99
2511, 75
2512, 40
2513, 80
2514, 49
2515, 63
2516, 42
2517, 37
2518, 22
2519, 29
2520, 22
2521, 3
2522, 7
2523, 152
2524, 19
2525, 173
2526, 152
2527, 16
2528, 52
2529, 65
2530, 155
2531, 28
2532, 137
2533, 164
2534, 68
2535, 39
2536, 52
2537, 40
2538, 166
2539, 245
2540, 52
2541, 17
2542, 156
2543, 163
2544, 198
2545, 141
2546, 130
2547, 84
2548, 28
2549, 31
2550, 53
2551, 184
2552, 65
2553, 115
2554, 102
2555, 127
2556, 140
2557, 151
2558, 90
2559, 74
2560, 52
2561, 39
2562, 19
2563, 29
2564, 31
2565, 28
2566, 68
2567, 164
2568, 82
2569, 95
2570, 109
2571, 143
2572, 83
2573, 160
2574, 173
2575, 145
2576, 182
2577, 45
2578, 40
2579, 90
2580, 47
2581, 78
2582, 44
2583, 101
2584, 129
2585, 21
2586, 179
2587, 29
2588, 192
2589, 66
2590, 116
2591, 23
2592, 64
2593, 36
2594, 87
2595, 17
2596, 173
2597, 120
2598, 67
2599, 77
2600, 92
2601, 86
2602, 164
2603, 120
2604, 67
2605, 144
2606, 189
2607, 95
2608, 23
2609, 38
2610, 21
2611, 23
2612, 31
2613, 142
2614, 58
2615, 177
2616, 115
2617, 177
2618, 76
2619, 52
2620, 114
2621, 54
2622, 117
2623, 92
2624, 34
2625, 159
2626, 54
2627, 46
2628, 15
2629, 18
2630, 125
2631, 28
2632, 145
2633, 53
2634, 41
2635, 15
2636, 167
2637, 228
2638, 184
2639, 164
2640, 41
2641, 149
2642, 116
2643, 200
2644, 133
2645, 178
2646, 179
2647, 48
2648, 201
2649, 132
2650, 127
2651, 156
2652, 143
2653, 76
2654, 50
2655, 9
2656, 71
2657, 138
2658, 126
2659, 16
2660, 49
2661, 51
2662, 82
2663, 68
2664, 125
2665, 88
2666, 109
2667, 86
2668, 36
2669, 157
2670, 54
2671, 115
2672, 222
2673, 109
2674, 63
2675, 44
2676, 92
2677, 19
2678, 80
2679, 71
2680, 69
2681, 11
2682, 50
2683, 80
2684, 47
2685, 125
2686, 129
2687, 61
2688, 136
2689, 149
2690, 86
2691, 172
2692, 136
2693, 232
2694, 149
2695, 49
2696, 24
2697, 25
2698, 20
2699, 126
2700, 247
2701, 112
2702, 123
2703, 86
2704, 58
2705, 39
2706, 153
2707, 23
2708, 81
2709, 30
2710, 22
2711, 22
2712, 135
2713, 201
2714, 36
2715, 99
2716, 188
2717, 115
2718, 15
2719, 63
2720, 41
2721, 51
2722, 54
2723, 123
2724, 105
2725, 17
2726, 15
2727, 166
2728, 192
2729, 217
2730, 218
2731, 115
2732, 100
2733, 63
2734, 86
2735, 35
2736, 11
2737, 97
2738, 145
2739, 198
2740, 40
2741, 50
2742, 195
2743, 100
2744, 52
2745, 118
2746, 120
2747, 218
2748, 79
2749, 185
2750, 116
2751, 131
2752, 189
2753, 209
2754, 183
2755, 172
2756, 132
2757, 17
2758, 61
2759, 65
2760, 33
2761, 26
2762, 218
2763, 73
2764, 49
2765, 23
2766, 46
2767, 90
2768, 48
2769, 69
2770, 61
2771, 44
2772, 36
2773, 27
2774, 199
2775, 79
2776, 90
2777, 117
2778, 97
2779, 7
2780, 6
2781, 9
2782, 111
2783, 78
2784, 50
2785, 83
2786, 137
2787, 85
2788, 101
2789, 77
2790, 90
2791, 214
2792, 197
2793, 162
2794, 189
2795, 79
2796, 47
2797, 88
2798, 55
2799, 50
2800, 49
2801, 84
2802, 44
2803, 98
2804, 166
2805, 186
2806, 120
2807, 30
2808, 39
2809, 45
2810, 196
2811, 113
2812, 92
2813, 187
2814, 142
2815, 107
2816, 102
2817, 146
2818, 88
2819, 99
2820, 183
2821, 165
2822, 192
2823, 164
2824, 108
2825, 55
2826, 85
2827, 224
2828, 152
2829, 18
2830, 189
2831, 25
2832, 186
2833, 26
2834, 23
2835, 19
2836, 28
2837, 28
2838, 34
2839, 29
2840, 22
2841, 27
2842, 97
2843, 130
2844, 120
2845, 210
2846, 204
2847, 157
2848, 166
2849, 117
2850, 90
2851, 128
2852, 79
2853, 38
2854, 27
2855, 37
2856, 156
2857, 198
2858, 141
2859, 166
2860, 208
2861, 178
2862, 65
2863, 81
2864, 39
2865, 140
2866, 133
2867, 97
2868, 139
2869, 176
2870, 190
2871, 162
2872, 75
2873, 71
2874, 149
2875, 102
2876, 145
2877, 70
2878, 106
2879, 197
2880, 165
2881, 134
2882, 178
2883, 166
2884, 187
2885, 177
2886, 202
2887, 151
2888, 65
2889, 191
2890, 59
2891, 18
2892, 124
2893, 123
2894, 69
2895, 159
2896, 41
2897, 41
2898, 153
2899, 86
2900, 42
2901, 118
2902, 29
2903, 17
2904, 18
2905, 15
2906, 31
2907, 32
2908, 42
2909, 34
2910, 34
2911, 17
2912, 44
2913, 125
2914, 193
2915, 15
2916, 20
2917, 23
2918, 73
2919, 31
2920, 90
2921, 120
2922, 87
2923, 89
2924, 39
2925, 51
2926, 41
2927, 185
2928, 151
2929, 48
2930, 153
2931, 153
2932, 49
2933, 148
2934, 194
2935, 29
2936, 40
2937, 65
2938, 141
2939, 208
2940, 19
2941, 115
2942, 158
2943, 180
2944, 189
2945, 25
2946, 72
2947, 67
2948, 95
2949, 152
2950, 68
2951, 105
2952, 66
2953, 76
2954, 201
2955, 187
2956, 195
2957, 134
2958, 78
2959, 36
2960, 31
2961, 15
2962, 42
2963, 78
2964, 98
2965, 29
2966, 91
2967, 143
2968, 166
2969, 163
2970, 163
2971, 193
2972, 177
2973, 128
2974, 86
2975, 130
2976, 105
2977, 168
2978, 185
2979, 108
2980, 159
2981, 138
2982, 143
2983, 196
2984, 167
2985, 188
2986, 153
2987, 177
2988, 179
2989, 172
2990, 193
2991, 15
2992, 185
2993, 158
2994, 122
2995, 20
2996, 44
2997, 28
2998, 156
2999, 149
3000, 65
3001, 9
3002, 22
3003, 53
3004, 177
3005, 9
3006, 23
3007, 175
3008, 137
3009, 171
3010, 98
3011, 112
3012, 128
3013, 146
3014, 145
3015, 173
3016, 177
3017, 150
3018, 163
3019, 164
3020, 140
3021, 180
3022, 111
3023, 53
3024, 108
3025, 182
3026, 125
3027, 93
3028, 137
3029, 82
3030, 42
3031, 43
3032, 120
3033, 32
3034, 38
3035, 64
3036, 172
3037, 175
3038, 81
3039, 145
3040, 230
3041, 117
3042, 199
3043, 204
3044, 60
3045, 26
3046, 64
3047, 48
3048, 176
3049, 106
3050, 74
3051, 12
3052, 100
3053, 107
3054, 87
3055, 113
3056, 74
3057, 71
3058, 108
3059, 134
3060, 39
3061, 176
3062, 115
3063, 163
3064, 166
3065, 149
3066, 138
3067, 68
3068, 47
3069, 49
3070, 90
3071, 96
3072, 94
3073, 110
3074, 74
3075, 122
3076, 108
3077, 25
3078, 103
3079, 148
3080, 79
3081, 216
3082, 134
3083, 24
3084, 32
3085, 85
3086, 6
3087, 144
3088, 54
3089, 17
3090, 7
3091, 145
3092, 130
3093, 206
3094, 52
3095, 150
3096, 173
3097, 142
3098, 145
3099, 26
3100, 103
3101, 91
3102, 164
3103, 191
3104, 110
3105, 190
3106, 118
3107, 123
3108, 147
3109, 115
3110, 103
3111, 91
3112, 187
3113, 194
3114, 138
3115, 6
3116, 12
3117, 13
3118, 45
3119, 166
3120, 88
3121, 29
3122, 152
3123, 99
3124, 184
3125, 59
3126, 41
3127, 163
3128, 125
3129, 162
3130, 181
3131, 185
3132, 182
3133, 220
3134, 168
3135, 165
3136, 163
3137, 175
3138, 117
3139, 194
3140, 141
3141, 106
3142, 195
3143, 83
3144, 97
3145, 81
3146, 160
3147, 195
3148, 228
3149, 188
3150, 191
3151, 224
3152, 181
3153, 178
3154, 148
3155, 165
3156, 174
3157, 185
3158, 174
3159, 176
3160, 190
3161, 24
3162, 16
3163, 21
3164, 23
3165, 46
3166, 25
3167, 13
3168, 143
3169, 165
3170, 118
3171, 138
3172, 160
3173, 197
3174, 165
3175, 177
3176, 163
3177, 164
3178, 141
3179, 157
3180, 100
3181, 103
3182, 79
3183, 34
3184, 45
3185, 26
3186, 22
3187, 206
3188, 152
3189, 72
3190, 87
3191, 72
3192, 197
3193, 201
3194, 190
3195, 215
3196, 18
3197, 99
3198, 109
3199, 35
3200, 192
3201, 126
3202, 86
3203, 132
3204, 147
3205, 51
3206, 8
3207, 13
3208, 65
3209, 36
3210, 43
3211, 165
3212, 122
3213, 67
3214, 103
3215, 57
3216, 198
3217, 204
3218, 197
3219, 180
3220, 161
3221, 191
3222, 195
3223, 220
3224, 120
3225, 54
3226, 89
3227, 159
3228, 130
3229, 116
3230, 68
3231, 14
3232, 148
3233, 170
3234, 138
3235, 95
3236, 65
3237, 97
3238, 137
3239, 25
3240, 49
3241, 86
3242, 95
3243, 80
3244, 104
3245, 90
3246, 80
3247, 62
3248, 30
3249, 38
3250, 127
3251, 113
3252, 162
3253, 72
3254, 99
3255, 47
3256, 73
3257, 169
3258, 196
3259, 103
3260, 59
3261, 201
3262, 185
3263, 41
3264, 44
3265, 74
3266, 132
3267, 172
3268, 99
3269, 60
3270, 0
3271, 1
3272, 0
3273, 2
3274, 0
3275, 2
3276, 1
3277, 7
3278, 99
3279, 81
3280, 153
3281, 203
3282, 202
3283, 178
3284, 110
3285, 181
3286, 24
3287, 65
3288, 68
3289, 56
3290, 210
3291, 42
3292, 211
3293, 137
3294, 102
3295, 167
3296, 126
3297, 182
3298, 183
3299, 194
3300, 181
3301, 199
3302, 2
3303, 192
3304, 175
3305, 165
3306, 40
3307, 36
3308, 119
3309, 62
3310, 58
3311, 67
3312, 128
3313, 10
3314, 144
3315, 92
3316, 82
3317, 185
3318, 78
3319, 16
3320, 60
3321, 153
3322, 16
3323, 79
3324, 115
3325, 48
3326, 45
3327, 149
3328, 173
3329, 175
3330, 178
3331, 164
3332, 118
3333, 127
3334, 177
3335, 1
3336, 23
3337, 119
3338, 115
3339, 98
3340, 40
3341, 83
3342, 40
3343, 19
3344, 57
3345, 25
3346, 134
3347, 168
3348, 98
3349, 197
3350, 165
3351, 26
3352, 47
3353, 32
3354, 115
3355, 55
3356, 127
3357, 191
3358, 186
3359, 111
3360, 41
3361, 29
3362, 12
3363, 182
3364, 40
3365, 80
3366, 135
3367, 215
3368, 17
3369, 128
3370, 157
3371, 139
3372, 82
3373, 64
3374, 131
3375, 41
3376, 40
3377, 39
3378, 126
3379, 46
3380, 122
3381, 19
3382, 95
3383, 12
3384, 130
3385, 66
3386, 63
3387, 61
3388, 147
3389, 170
3390, 19
3391, 25
3392, 67
3393, 18
3394, 78
3395, 176
3396, 154
3397, 186
3398, 144
3399, 10
3400, 58
3401, 31
3402, 37
3403, 168
3404, 27
3405, 79
3406, 29
3407, 17
3408, 16
3409, 31
3410, 22
3411, 38
3412, 78
3413, 50
3414, 179
3415, 14
3416, 79
3417, 35
3418, 71
3419, 32
3420, 210
3421, 218
3422, 62
3423, 24
3424, 40
3425, 37
3426, 168
3427, 130
3428, 73
3429, 28
3430, 96
3431, 123
3432, 80
3433, 47
3434, 158
3435, 128
3436, 199
3437, 192
3438, 56
3439, 8
3440, 4
3441, 13
3442, 47
3443, 80
3444, 66
3445, 154
3446, 57
3447, 165
3448, 196
3449, 140
3450, 115
3451, 194
3452, 71
3453, 83
3454, 77
3455, 35
3456, 22
3457, 22
3458, 201
3459, 104
3460, 168
3461, 139
3462, 57
3463, 98
3464, 199
3465, 39
3466, 46
3467, 35
3468, 155
3469, 222
3470, 215
3471, 12
3472, 202
3473, 102
3474, 147
3475, 131
3476, 141
3477, 138
3478, 129
3479, 145
3480, 188
3481, 25
3482, 59
3483, 77
3484, 171
3485, 53
3486, 10
3487, 134
3488, 127
3489, 174
3490, 143
3491, 144
3492, 169
3493, 153
3494, 190
3495, 168
3496, 216
3497, 29
3498, 20
3499, 27
3500, 26
3501, 16
3502, 5
3503, 7
3504, 107
3505, 191
3506, 77
3507, 145
3508, 16
3509, 98
3510, 117
3511, 58
3512, 67
3513, 18
3514, 24
3515, 63
3516, 51
3517, 45
3518, 25
3519, 16
3520, 167
3521, 15
3522, 71
3523, 27
3524, 110
3525, 134
3526, 35
3527, 120
3528, 15
3529, 166
3530, 19
3531, 134
3532, 205
3533, 88
3534, 62
3535, 86
3536, 48
3537, 120
3538, 155
3539, 77
3540, 147
3541, 192
3542, 205
3543, 166
3544, 142
3545, 156
3546, 136
3547, 80
3548, 116
3549, 73
3550, 212
3551, 92
3552, 100
3553, 116
3554, 113
3555, 119
3556, 134
3557, 101
3558, 58
3559, 168
3560, 125
3561, 63
3562, 97
3563, 120
3564, 115
3565, 163
3566, 187
3567, 16
3568, 114
3569, 67
3570, 131
3571, 43
3572, 111
3573, 197
3574, 109
3575, 79
3576, 55
3577, 61
3578, 63
3579, 98
3580, 89
3581, 32
3582, 124
3583, 164
3584, 12
3585, 170
3586, 45
3587, 197
3588, 83
3589, 144
3590, 33
3591, 47
3592, 28
3593, 82
3594, 15
3595, 95
3596, 160
3597, 53
3598, 79
3599, 89
3600, 63
3601, 178
3602, 132
3603, 68
3604, 145
3605, 74
3606, 120
3607, 29
3608, 33
3609, 26
3610, 26
3611, 28
3612, 212
3613, 24
3614, 147
3615, 202
3616, 196
3617, 69
3618, 26
3619, 74
3620, 23
3621, 43
3622, 91
3623, 21
3624, 171
3625, 84
3626, 103
3627, 76
3628, 109
3629, 141
3630, 16
3631, 200
3632, 111
3633, 50
3634, 45
3635, 155
3636, 153
3637, 173
3638, 132
3639, 103
3640, 153
3641, 108
3642, 180
3643, 164
3644, 198
3645, 148
3646, 23
3647, 163
3648, 4
3649, 37
3650, 131
3651, 13
3652, 7
3653, 48
3654, 10
3655, 165
3656, 47
3657, 10
3658, 23
3659, 64
3660, 43
3661, 89
3662, 100
3663, 100
3664, 77
3665, 121
3666, 108
3667, 68
3668, 181
3669, 8
3670, 43
3671, 193
3672, 23
3673, 16
3674, 23
3675, 23
3676, 22
3677, 98
3678, 83
3679, 111
3680, 11
3681, 28
3682, 154
3683, 85
3684, 126
3685, 140
3686, 95
3687, 148
3688, 151
3689, 92
3690, 206
3691, 155
3692, 112
3693, 154
3694, 73
3695, 36
3696, 24
3697, 40
3698, 114
3699, 153
3700, 185
3701, 155
3702, 124
3703, 59
3704, 45
3705, 168
3706, 45
3707, 192
3708, 30
3709, 57
3710, 54
3711, 163
3712, 189
3713, 9
3714, 48
3715, 52
3716, 163
3717, 27
3718, 88
3719, 58
3720, 76
3721, 132
3722, 157
3723, 65
3724, 26
3725, 50
3726, 140
3727, 181
3728, 166
3729, 164
3730, 169
3731, 115
3732, 97
3733, 90
3734, 160
3735, 92
3736, 92
3737, 189
3738, 110
3739, 14
3740, 43
3741, 163
3742, 108
3743, 19
3744, 135
3745, 93
3746, 184
3747, 79
3748, 193
3749, 134
3750, 167
3751, 208
3752, 159
3753, 177
3754, 139
3755, 108
3756, 11
3757, 19
3758, 13
3759, 10
3760, 27
3761, 187
3762, 33
3763, 43
3764, 38
3765, 33
3766, 60
3767, 36
3768, 54
3769, 42
3770, 129
3771, 141
3772, 99
3773, 179
3774, 146
3775, 190
3776, 182
3777, 128
3778, 36
3779, 26
3780, 48
3781, 175
3782, 117
3783, 134
3784, 154
3785, 61
3786, 99
3787, 141
3788, 28
3789, 53
3790, 147
3791, 157
3792, 149
3793, 156
3794, 86
3795, 47
3796, 68
3797, 47
3798, 40
3799, 34
3800, 60
3801, 21
3802, 64
3803, 103
3804, 159
3805, 67
3806, 23
3807, 34
3808, 28
3809, 204
3810, 136
3811, 122
3812, 181
3813, 173
3814, 156
3815, 154
3816, 153
3817, 105
3818, 110
3819, 171
3820, 180
3821, 217
3822, 190
3823, 122
3824, 60
3825, 80
3826, 168
3827, 145
3828, 9
3829, 149
3830, 51
3831, 174
3832, 16
3833, 9
3834, 17
3835, 26
3836, 22
3837, 19
3838, 15
3839, 15
3840, 45
3841, 25
3842, 149
3843, 62
3844, 202
3845, 164
3846, 113
3847, 206
3848, 120
3849, 90
3850, 72
3851, 165
3852, 95
3853, 85
3854, 59
3855, 124
3856, 141
3857, 64
3858, 142
3859, 210
3860, 213
3861, 116
3862, 72
3863, 49
3864, 155
3865, 152
3866, 89
3867, 203
3868, 224
3869, 201
3870, 229
3871, 58
3872, 74
3873, 136
3874, 194
3875, 148
3876, 127
3877, 150
3878, 192
3879, 174
3880, 158
3881, 193
3882, 151
3883, 162
3884, 140
3885, 198
3886, 172
3887, 73
3888, 159
3889, 88
3890, 8
3891, 40
3892, 116
3893, 7
3894, 114
3895, 63
3896, 81
3897, 64
3898, 69
3899, 65
3900, 163
3901, 30
3902, 47
3903, 62
3904, 71
3905, 95
3906, 95
3907, 96
3908, 99
3909, 106
3910, 18
3911, 115
3912, 132
3913, 182
3914, 73
3915, 31
3916, 153
3917, 42
3918, 34
3919, 119
3920, 193
3921, 205
3922, 120
3923, 49
3924, 127
3925, 13
3926, 181
3927, 152
3928, 35
3929, 145
3930, 70
3931, 46
3932, 95
3933, 165
3934, 31
3935, 62
3936, 31
3937, 141
3938, 168
3939, 79
3940, 94
3941, 156
3942, 176
3943, 166
3944, 23
3945, 102
3946, 58
3947, 99
3948, 177
3949, 93
3950, 99
3951, 59
3952, 85
3953, 222
3954, 174
3955, 220
3956, 203
3957, 90
3958, 56
3959, 62
3960, 68
3961, 85
3962, 95
3963, 108
3964, 33
3965, 192
3966, 156
3967, 151
3968, 101
3969, 174
3970, 191
3971, 191
3972, 82
3973, 41
3974, 91
3975, 98
3976, 132
3977, 172
3978, 101
3979, 169
3980, 155
3981, 149
3982, 187
3983, 207
3984, 212
3985, 188
3986, 217
3987, 200
3988, 215
3989, 184
3990, 14
3991, 101
3992, 191
3993, 46
3994, 14
3995, 79
3996, 103
3997, 5
3998, 9
3999, 20
4000, 38
4001, 100
4002, 27
4003, 3
4004, 8
4005, 115
4006, 99
4007, 118
4008, 98
4009, 196
4010, 163
4011, 41
4012, 42
4013, 23
4014, 50
4015, 119
4016, 9
4017, 38
4018, 47
4019, 50
4020, 130
4021, 158
4022, 134
4023, 84
4024, 22
4025, 9
4026, 5
4027, 1
4028, 181
4029, 130
4030, 178
4031, 67
4032, 86
4033, 106
4034, 73
4035, 69
4036, 60
4037, 197
4038, 39
4039, 36
4040, 55
4041, 10
4042, 6
4043, 108
4044, 178
4045, 209
4046, 85
4047, 86
4048, 66
4049, 9
4050, 23
4051, 7
4052, 49
4053, 11
4054, 6
4055, 14
4056, 12
4057, 18
4058, 2
4059, 122
4060, 72
4061, 58
4062, 89
4063, 89
4064, 99
4065, 173
4066, 146
4067, 134
4068, 168
4069, 171
4070, 158
4071, 178
4072, 184
4073, 157
4074, 90
4075, 151
4076, 140
4077, 146
4078, 48
4079, 113
4080, 32
4081, 75
4082, 118
4083, 57
4084, 94
4085, 2
4086, 5
4087, 2
4088, 46
4089, 2
4090, 153
4091, 160
4092, 161
4093, 143
4094, 192
4095, 207
4096, 148
4097, 171
4098, 157
4099, 47
4100, 139
4101, 145
4102, 104
4103, 143
4104, 74
4105, 92
4106, 27
4107, 178
4108, 77
4109, 92
4110, 49
4111, 26
4112, 14
4113, 110
4114, 128
4115, 128
4116, 94
4117, 174
4118, 37
4119, 209
4120, 173
4121, 134
4122, 170
4123, 82
4124, 98
4125, 32
4126, 71
4127, 58
4128, 91
4129, 8
4130, 3
4131, 5
4132, 7
4133, 6
4134, 6
4135, 8
4136, 11
4137, 129
4138, 126
4139, 146
4140, 123
4141, 42
4142, 169
4143, 141
4144, 45
4145, 36
4146, 186
4147, 171
4148, 146
4149, 22
4150, 133
4151, 156
4152, 10
4153, 36
4154, 6
4155, 4
4156, 5
4157, 14
4158, 35
4159, 8
4160, 180
4161, 165
4162, 193
4163, 185
4164, 24
4165, 157
4166, 184
4167, 86
4168, 181
4169, 25
4170, 69
4171, 105
4172, 116
4173, 63
4174, 105
4175, 73
4176, 105
4177, 205
4178, 175
4179, 180
4180, 204
4181, 168
4182, 202
4183, 163
4184, 133
4185, 124
4186, 140
4187, 122
4188, 168
4189, 94
4190, 78
4191, 1
4192, 5
4193, 43
4194, 3
4195, 38
4196, 161
4197, 154
4198, 169
4199, 52
4200, 58
4201, 92
4202, 87
4203, 113
4204, 22
4205, 70
4206, 82
4207, 114
4208, 68
4209, 139
4210, 42
4211, 149
4212, 189
4213, 163
4214, 180
4215, 132
4216, 133
4217, 130
4218, 159
4219, 154
4220, 151
4221, 115
4222, 99
4223, 42
4224, 81
4225, 82
4226, 64
4227, 84
4228, 94
4229, 87
4230, 132
4231, 52
4232, 31
4233, 51
4234, 9
4235, 30
4236, 38
4237, 71
4238, 129
4239, 151
4240, 103
4241, 185
4242, 121
4243, 189
4244, 184
4245, 182
4246, 128
4247, 92
4248, 98
4249, 201
4250, 13
4251, 21
4252, 126
4253, 111
4254, 76
4255, 41
4256, 145
4257, 127
4258, 161
4259, 109
4260, 102
4261, 44
4262, 155
4263, 84
4264, 9
4265, 15
4266, 60
4267, 46
4268, 84
4269, 100
4270, 95
4271, 100
4272, 148
4273, 149
4274, 126
4275, 120
4276, 96
4277, 6
4278, 4
4279, 1
4280, 5
4281, 2
4282, 1
4283, 5
4284, 24
4285, 68
4286, 197
4287, 132
4288, 165
4289, 7
4290, 133
4291, 57
4292, 12
4293, 2
4294, 2
4295, 14
4296, 7
4297, 45
4298, 4
4299, 32
4300, 7
4301, 152
4302, 172
4303, 114
4304, 81
4305, 150
4306, 137
4307, 142
4308, 67
4309, 88
4310, 79
4311, 139
4312, 152
4313, 92
4314, 130
4315, 165
4316, 80
4317, 121
4318, 135
4319, 213
4320, 2
4321, 87
4322, 24
4323, 2
4324, 124
4325, 134
4326, 33
4327, 72
4328, 129
4329, 152
4330, 154
4331, 147
4332, 171
4333, 116
4334, 123
4335, 147
4336, 20
4337, 14
4338, 4
4339, 100
4340, 4
4341, 154
4342, 120
4343, 108
4344, 170
4345, 166
4346, 67
4347, 197
4348, 70
4349, 67
4350, 46
4351, 133
4352, 68
4353, 22
4354, 39
4355, 26
4356, 18
4357, 32
4358, 20
4359, 26
4360, 31
4361, 46
4362, 24
4363, 76
4364, 133
4365, 152
4366, 46
4367, 150
4368, 199
4369, 109
4370, 106
4371, 128
4372, 98
4373, 16
4374, 107
4375, 114
4376, 119
4377, 78
4378, 78
4379, 198
4380, 52
4381, 95
4382, 169
4383, 22
4384, 25
4385, 54
4386, 86
4387, 78
4388, 41
4389, 45
4390, 82
4391, 122
4392, 189
4393, 167
4394, 81
4395, 37
4396, 46
4397, 67
4398, 89
4399, 87
4400, 99
4401, 50
4402, 168
4403, 129
4404, 147
4405, 171
4406, 178
4407, 187
4408, 186
4409, 191
4410, 77
4411, 26
4412, 119
4413, 33
4414, 185
4415, 158
4416, 111
4417, 150
4418, 103
4419, 18
4420, 4
4421, 82
4422, 129
4423, 81
4424, 113
4425, 145
4426, 119
4427, 128
4428, 114
4429, 41
4430, 154
4431, 61
4432, 140
4433, 16
4434, 0
4435, 94
4436, 79
4437, 192
4438, 109
4439, 134
4440, 128
4441, 37
4442, 39
4443, 29
4444, 115
4445, 41
4446, 2
4447, 78
4448, 6
4449, 112
4450, 55
4451, 37
4452, 178
4453, 167
4454, 162
4455, 137
4456, 105
4457, 2
4458, 1
4459, 5
4460, 5
4461, 66
4462, 167
4463, 35
4464, 154
4465, 168
4466, 176
4467, 61
4468, 64
4469, 135
4470, 134
4471, 101
4472, 43
4473, 27
4474, 31
4475, 13
4476, 36
4477, 29
4478, 9
4479, 6
4480, 153
4481, 159
4482, 10
4483, 2
4484, 38
4485, 113
4486, 109
4487, 0
4488, 162
4489, 6
4490, 121
4491, 177
4492, 161
4493, 23
4494, 150
4495, 206
4496, 199
4497, 175
4498, 136
4499, 130
4500, 147
4501, 148
4502, 169
4503, 57
4504, 123
4505, 177
4506, 111
4507, 129
4508, 123
4509, 126
4510, 155
4511, 11
4512, 14
4513, 66
4514, 102
4515, 164
4516, 184
4517, 172
4518, 184
4519, 100
4520, 101
4521, 12
4522, 124
4523, 15
4524, 16
4525, 157
4526, 163
4527, 58
4528, 58
4529, 139
4530, 128
4531, 71
4532, 159
4533, 147
4534, 47
4535, 131
4536, 5
4537, 54
4538, 101
4539, 157
4540, 37
4541, 49
4542, 3
4543, 162
4544, 145
4545, 129
4546, 158
4547, 180
4548, 109
4549, 118
4550, 80
4551, 34
4552, 74
4553, 49
4554, 46
4555, 33
4556, 37
4557, 76
4558, 149
4559, 153
4560, 146
4561, 166
4562, 140
4563, 158
4564, 163
4565, 187
4566, 58
4567, 71
4568, 68
4569, 73
4570, 84
4571, 34
4572, 13
4573, 31
4574, 15
4575, 78
4576, 122
4577, 131
4578, 34
4579, 69
4580, 46
4581, 29
4582, 18
4583, 76
4584, 8
4585, 83
4586, 6
4587, 60
4588, 46
4589, 146
4590, 113
4591, 113
4592, 149
4593, 138
4594, 85
4595, 20
4596, 59
4597, 147
4598, 190
4599, 42
4600, 70
4601, 78
4602, 79
4603, 124
4604, 26
4605, 58
4606, 10
4607, 81
4608, 72
4609, 65
4610, 101
4611, 41
4612, 29
4613, 161
4614, 143
4615, 16
4616, 52
4617, 30
4618, 34
4619, 50
4620, 62
4621, 98
4622, 19
4623, 16
4624, 152
4625, 134
4626, 62
4627, 109
4628, 65
4629, 125
4630, 152
4631, 110
4632, 122
4633, 113
4634, 13
4635, 168
4636, 206
4637, 129
4638, 190
4639, 180
4640, 192
4641, 5
4642, 182
4643, 170
4644, 3
4645, 151
4646, 7
4647, 32
4648, 10
4649, 19
4650, 69
4651, 82
4652, 127
4653, 193
4654, 148
4655, 56
4656, 71
4657, 117
4658, 176
4659, 114
4660, 33
4661, 95
4662, 22
4663, 38
4664, 17
4665, 31
4666, 29
4667, 4
4668, 123
4669, 40
4670, 6
4671, 25
4672, 9
4673, 49
4674, 13
4675, 147
4676, 123
4677, 97
4678, 110
4679, 159
4680, 148
4681, 155
4682, 181
4683, 83
4684, 106
4685, 169
4686, 108
4687, 66
4688, 125
4689, 159
4690, 126
4691, 135
4692, 100
4693, 176
4694, 71
4695, 96
4696, 77
4697, 24
4698, 1
4699, 14
4700, 12
4701, 89
4702, 142
4703, 164
4704, 53
4705, 156
4706, 105
4707, 115
4708, 150
4709, 143
4710, 165
4711, 15
4712, 140
4713, 133
4714, 3
4715, 144
4716, 159
4717, 135
4718, 153
4719, 98
4720, 103
4721, 188
4722, 40
4723, 179
4724, 109
4725, 118
4726, 23
4727, 94
4728, 1
4729, 173
4730, 177
4731, 102
4732, 69
4733, 186
4734, 162
4735, 81
4736, 40
4737, 9
4738, 9
4739, 37
4740, 6
4741, 42
4742, 64
4743, 33
4744, 23
4745, 14
4746, 144
4747, 3
4748, 15
4749, 13
4750, 8
4751, 3
4752, 4
4753, 15
4754, 25
4755, 143
4756, 123
4757, 136
4758, 181
4759, 183
4760, 13
4761, 117
4762, 175
4763, 176
4764, 185
4765, 103
4766, 199
4767, 111
4768, 165
4769, 157
4770, 201
4771, 172
4772, 65
4773, 168
4774, 100
4775, 92
4776, 24
4777, 124
4778, 122
4779, 119
4780, 69
4781, 63
4782, 179
4783, 79
4784, 45
4785, 129
4786, 123
4787, 99
4788, 175
4789, 75
4790, 119
4791, 185
4792, 52
4793, 15
4794, 1
4795, 3
4796, 4
4797, 5
4798, 14
4799, 1
4800, 94
4801, 18
4802, 19
4803, 30
4804, 32
4805, 30
4806, 36
4807, 50
4808, 99
4809, 185
4810, 203
4811, 183
